name,hex,R,G,B
Teal,#008080,0,128,128
Navy,#000080,0,0,128
Orange,#FFA500,255,165,0
Brown,#A52A2A,165,42,42
Pink,#FFC0CB,255,192,203
Coral,#FF7F50,255,127,80
Gold,#FFD700,255,215,0
Khaki,#F0E68C,240,230,140
Ivory,#FFFFF0,255,255,240
Beige,#F5F5DC,245,245,220
Lavender,#E6E6FA,230,230,250
Indigo,#4B0082,75,0,130
Violet,#EE82EE,238,130,238
Salmon,#FA8072,250,128,114
Chocolate,#D2691E,210,105,30
Crimson,#DC143C,220,20,60
Sienna,#A0522D,160,82,45
Tan,#D2B48C,210,180,140
Turquoise,#40E0D0,64,224,208
SkyBlue,#87CEEB,135,206,235
LightGreen,#90EE90,144,238,144
DarkGreen,#006400,0,100,0
DarkRed,#8B0000,139,0,0
LightPink,#FFB6C1,255,182,193
SteelBlue,#4682B4,70,130,180
MintCream,#F5FFFA,245,255,250
LavenderBlush,#FFF0F5,255,240,245
OldLace,#FDF5E6,253,245,230
Seashell,#FFF5EE,255,245,238
PapayaWhip,#FFEFD5,255,239,213
PeachPuff,#FFDAB9,255,218,185
Moccasin,#FFE4B5,255,228,181
NavajoWhite,#FFDEAD,255,222,173
LemonChiffon,#FFFACD,255,250,205
FloralWhite,#FFFAF0,255,250,240
GhostWhite,#F8F8FF,248,248,255
Honeydew,#F0FFF0,240,255,240
DarkSlateGray,#2F4F4F,47,79,79
LightSeaGreen,#20B2AA,32,178,170
MediumPurple,#9370DB,147,112,219
MediumSlateBlue,#7B68EE,123,104,238
DarkOrange,#FF8C00,255,140,0
DarkGoldenRod,#B8860B,184,134,11
FireBrick,#B22222,178,34,34
LimeGreen,#32CD32,50,205,50
SeaGreen,#2E8B57,46,139,87
Peru,#CD853F,205,133,63
SaddleBrown,#8B4513,139,69,19
LightSkyBlue,#87CEFA,135,206,250
RoyalBlue,#4169E1,65,105,225
DodgerBlue,#1E90FF,30,144,255
AliceBlue,#F0F8FF,240,248,255
AntiqueWhite,#FAEBD7,250,235,215
Azure,#F0FFFF,240,255,255
